"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath"
"Visium mouse skeletal muscle 2 days post notexin injury","Space Ranger processed Visium data from 'Large-scale integration of single-cell transcriptomic data captures transitional progenitor states in mouse skeletal muscle regeneration' was downloaded from GEO. The gene count matrix, Visium spot polygons, tissue boundary polygons, and myofiber and nuclei segmentation are stored in a SpatialFeatureExperiment (SFE) object. Morphological metrics of the segmented myofibers and nuclei are also included.","3.16","GRCm38","MTX","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4904759","","Mus musculus","10090",NA,"Cornell University","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","Rds","SFEData/sfe_vis5a.rds"
"Small demo subset of mouse skeletal muscle Visium data","A small subset of the first dataset in this package for quick demos.","3.16","GRCm38","MTX","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4904759","","Mus musculus","10090",NA,"Cornell University","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","Rds","SFEData/sfe_vis5a_small.rds"
"Small demo subset of mouse skeletal muscle Visium data 2","A second small subset of the first dataset to demonstrate working with multiple samples in the same SFE object.","3.16","GRCm38","MTX","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4904759","","Mus musculus","10090",NA,"Cornell University","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","Rds","SFEData/sfe_small2.rds"
"Human melanoma brain metastasis slide-seq2 data","Gene count matrix and bead locations from one melanoma brain metastasis sample as processed by the authors as in the paper 'Dissecting the treatment-naive ecosystem of human melanoma brain metastasis'","3.16","GRCh38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6025935","","Homo sapiens","9606",NA,"Columbia University Irving Medical Center","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","Rds","SFEData/mbm_slide_seq.rds"
"Human melanoma extracranial metastasis slide-seq2 data","Gene count matrix and bead locations from one melanoma extracranial metastasis sample as processed by the authors as in the paper 'Dissecting the treatment-naive ecosystem of human melanoma brain metastasis'","3.16","GRCh38","CSV","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6025946","","Homo sapiens","9606",NA,"Columbia University Irving Medical Center","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","Rds","SFEData/ecm_slide_seq.rds"
"Nanostring FFPE CosMX human NSCLC data","One of the CosMX formalin fixed paraffin embedded (FFPE) example datasets for human non small cell lung cancer (NSCLC, Lung5_Rep1) from the Nanostring website, described in the paper 'High-plex Multiomic Analysis in FFPE at Subcellular Level by Spatial Molecular Imaging'","3.16","GRCh38","CSV","https://nanostring.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/","","Homo sapiens","9606",NA,"Nanostring Technologies Inc.","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","Rds","SFEData/cosmx1.rds"
"Xenium FFPE human breast cancer data (rep1)","Example Xenium dataset of formalin fixed paraffin embedded (FFPE) human breast cancer from 10X Genomics, rep1, described in the paper 'High resolution mapping of the breast cancer tumor microenvironment using integrated single cell'","3.16","GRCh38","HDF5","https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset-human-breast","","Homo sapiens","9606",NA,"10X Genomics","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","Rds","SFEData/xenium1.rds"
"Xenium FFPE human breast cancer data (rep2)","Example Xenium dataset of formalin fixed paraffin embedded (FFPE) human breast cancer from 10X Genomics, rep2, described in the paper 'High resolution mapping of the breast cancer tumor microenvironment using integrated single cell'","3.16","GRCh38","HDF5","https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset-human-breast","","Homo sapiens","9606",NA,"10X Genomics","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","Rds","SFEData/xenium2.rds"
"Vizgen MERFISH mouse liver data","This is one of the example datasets from Vizgen's website","3.16","GRCm38","CSV","https://console.cloud.google.com/storage/browser/vz-liver-showcase/Liver1Slice1;tab=objects?pageState=(%22StorageObjectListTable%22:(%22f%22:%22%255B%255D%22))&prefix=&forceOnObjectsSortingFiltering=false&pli=1","","Mus musculus","10090",NA,"Vizgen Inc.","Lambda Moses <dlu2@caltech.edu>","SpatialFeatureExperiment","Rds","SFEData/merfish_liver1.rds"
"seqFISH mouse gastrulation data (rep 1)","Example seqFISH dataset of tissue sections of mouse embryos at the 8–12 somite stage by the Marioni lab at the Cancer Research UK Cambridge Institute, rep1, described in the paper 'Integration of spatial and single-cell transcriptomic data elucidates mouse organogenesis'","3.17","GRCm38","RDS","https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/","","Mus musculus","10090",NA,"Cancer Research UK Cambridge Institute","Kayla Jackson <kaylajac@caltech.edu>","SpatialFeatureExperiment","Rds","SFEData/seqfish_em1.rds"
